customer_id,recency,frequency,monetary_value,CLTV,segment,lifetime_days
USER_000220,44,9,1795.75,4788.72,At Risk,228
USER_000221,43,9,1872.94,4162.0,At Risk,270
USER_000222,31,8,1852.24,4630.6,At Risk,275
USER_000223,50,13,3098.26,7149.9,At Risk,265
USER_000224,11,14,2903.74,6637.12,Potential regulars,299
USER_000225,26,11,3270.09,6540.16,At Risk,340
USER_000226,107,3,888.99,1777.98,Inactive,232
USER_000227,36,14,3222.49,6445.04,At Risk,329
USER_000228,57,9,1750.55,4279.22,At Risk,252
USER_000229,12,13,4478.71,9646.56,Potential regulars,338
USER_000230,39,14,4221.0,9045.0,At Risk,309
USER_000231,62,10,3246.84,6493.6,At Risk,294
USER_000232,36,11,4004.87,9466.08,At Risk,271
USER_000233,75,12,2610.84,5221.68,At Risk,291
USER_000234,39,9,1813.64,3627.36,At Risk,311
USER_000235,46,7,1393.56,2787.12,At Risk,296
USER_000236,107,6,1958.6,4570.02,Inactive,199
USER_000237,28,8,1981.55,3963.04,At Risk,338
USER_000238,11,10,3024.93,6654.78,Potential regulars,325
USER_000239,10,7,1863.79,5325.2,Potential regulars,252
USER_000240,36,9,2648.04,5884.6,At Risk,292
USER_000241,25,7,2323.99,4648.0,At Risk,339
USER_000242,63,6,2177.46,5080.74,At Risk,269
USER_000243,80,4,1086.05,2715.1,At Risk,198
USER_000244,37,9,2296.41,5613.52,At Risk,268
USER_000245,21,10,1778.54,4268.4,Potential regulars,286
USER_000246,20,9,2662.53,7691.84,Potential regulars,242
USER_000247,16,14,3598.39,7710.9,Potential regulars,330
USER_000248,29,8,2035.3,4579.38,At Risk,303
USER_000249,30,6,1341.47,4471.6,At Risk,199
USER_000250,68,7,2690.44,5380.9,At Risk,296
USER_000251,64,7,1330.88,3422.34,At Risk,218
USER_000252,38,13,2882.98,5766.02,At Risk,315
USER_000253,9,10,1983.62,3967.2,Potential regulars,349
USER_000254,91,10,1960.44,3920.8,Inactive,267
USER_000255,51,10,3055.61,6111.2,At Risk,309
USER_000256,11,8,1254.96,2823.66,Potential regulars,317
USER_000257,44,11,3160.15,6320.38,At Risk,306
USER_000258,42,11,2853.42,5706.8,At Risk,313
USER_000259,13,10,2354.6,6121.96,Potential regulars,265
USER_000260,28,9,3149.52,7698.9,At Risk,264
USER_000261,98,10,2055.92,4522.98,Inactive,232
USER_000262,41,7,1585.99,4531.4,At Risk,205
USER_000263,29,13,2546.82,5093.66,At Risk,335
USER_000264,17,9,2394.21,7448.56,Potential regulars,223
USER_000265,40,7,998.45,1996.96,At Risk,324
USER_000266,52,12,2748.34,6870.9,At Risk,246
USER_000267,42,10,2297.3,5054.06,At Risk,282
USER_000268,18,10,2490.24,5478.44,Potential regulars,327
USER_000269,53,7,1912.26,3824.52,At Risk,299
USER_000270,1,7,2698.71,5397.42,Potential regulars,364
USER_000271,13,13,3811.11,8794.8,Potential regulars,308
USER_000272,8,7,1856.87,4244.32,Potential regulars,321
USER_000273,20,9,2008.19,4016.34,Potential regulars,346
USER_000274,27,17,4462.99,13126.5,At Risk,221
USER_000275,38,14,2642.84,5663.1,At Risk,300
USER_000276,10,4,908.46,1816.88,Potential regulars,330
USER_000277,112,7,2945.51,5891.06,Inactive,251
USER_000278,20,13,3321.46,6643.0,Potential regulars,341
USER_000279,3,9,3363.47,6726.96,Potential regulars,354
USER_000280,90,8,2577.72,5155.52,At Risk,276
USER_000281,100,6,1609.66,3219.36,Inactive,238
USER_000282,74,5,1630.18,3912.48,At Risk,227
USER_000283,26,6,1324.94,2649.84,At Risk,313
USER_000284,4,11,3174.55,6926.4,Potential regulars,331
USER_000285,42,16,3432.64,6865.28,At Risk,323
USER_000286,105,11,2753.62,5507.26,Inactive,252
USER_000287,11,7,2465.41,8452.8,Potential regulars,200
USER_000288,12,10,3100.53,6201.0,Potential regulars,339
USER_000289,12,9,1929.17,4715.7,Potential regulars,279
USER_000290,25,10,2511.18,5022.4,At Risk,337
USER_000291,12,10,2585.43,5170.8,Potential regulars,350
USER_000292,27,11,2817.41,5634.86,At Risk,331
USER_000293,15,7,2393.35,4786.74,Potential regulars,338
USER_000294,171,8,2886.08,6493.68,Inactive,154
USER_000295,20,14,3232.52,6926.7,Potential regulars,317
USER_000296,3,5,1898.45,6075.04,Potential regulars,231
USER_000297,27,13,2964.77,5929.56,At Risk,328
USER_000298,116,5,1703.2,4087.68,Inactive,184
USER_000299,44,7,1198.59,2739.68,At Risk,289
USER_000300,3,10,2839.28,6246.46,Potential regulars,343
USER_000301,6,7,1819.22,3638.46,Potential regulars,350
USER_000302,16,16,4119.69,9269.28,Potential regulars,315
USER_000303,115,10,2402.6,4805.2,Inactive,243
USER_000304,66,4,710.86,2132.52,At Risk,163
USER_000305,8,12,2616.98,6106.24,Potential regulars,313
USER_000306,26,8,1638.19,3276.32,At Risk,325
USER_000307,93,11,3009.12,6018.32,Inactive,269
USER_000308,19,11,3512.21,8940.12,Potential regulars,273
USER_000309,78,6,1678.5,5595.0,At Risk,147
USER_000310,1,14,3621.05,7242.2,Potential regulars,355
USER_000311,110,7,1268.42,2536.8,Inactive,240
USER_000312,42,8,1555.99,3112.0,At Risk,324
USER_000313,15,2,577.9,1155.8,Potential regulars,18
USER_000314,173,6,1721.07,3442.08,Inactive,172
USER_000315,58,6,1126.26,2252.52,At Risk,299
USER_000316,17,9,1980.96,3961.98,Potential regulars,332
USER_000317,97,8,1501.25,3002.56,Inactive,247
USER_000318,19,13,3139.1,7244.1,Potential regulars,305
USER_000319,13,7,1489.76,3405.12,Potential regulars,311
USER_000320,29,13,2930.81,6763.5,At Risk,294
USER_000321,4,18,4625.64,9251.28,Potential regulars,361
USER_000322,86,5,1007.96,2015.9,At Risk,277
USER_000323,17,10,2634.37,5268.8,Potential regulars,339
USER_000324,274,2,339.04,678.08,Inactive,40
USER_000325,15,7,1204.52,3097.26,Potential regulars,283
USER_000326,20,12,2653.59,5307.12,Potential regulars,334
USER_000327,15,15,4176.74,8353.5,Potential regulars,339
USER_000328,65,7,1418.48,2836.96,At Risk,290
USER_000329,48,7,1866.11,3732.26,At Risk,305
USER_000330,33,16,4459.14,10590.6,At Risk,279
USER_000331,91,5,886.0,2126.4,Inactive,220
USER_000332,57,13,3316.31,7142.8,At Risk,272
USER_000333,35,11,2972.86,5945.72,At Risk,323
USER_000334,13,11,2275.91,4965.6,Potential regulars,329
USER_000335,48,7,1742.94,3485.86,At Risk,301
USER_000336,10,10,3063.55,6739.92,Potential regulars,327
USER_000337,36,6,1933.08,5154.88,At Risk,243
USER_000338,36,10,2698.9,5397.8,At Risk,321
USER_000339,66,3,776.33,2587.8,At Risk,139
USER_000340,66,10,3578.13,7156.2,At Risk,291
USER_000341,93,3,797.8,2659.3,Inactive,137
USER_000342,21,13,2843.4,6561.6,Potential regulars,296
USER_000343,15,10,2334.42,5602.56,Potential regulars,288
USER_000344,24,9,2314.93,8745.14,At Risk,166
USER_000345,20,8,1598.84,3997.0,Potential regulars,285
USER_000346,139,9,2114.34,4228.74,Inactive,224
USER_000347,13,7,1924.0,3848.04,Potential regulars,341
USER_000348,6,11,1947.33,3894.66,Potential regulars,350
USER_000349,33,7,1661.23,3797.12,At Risk,291
USER_000350,3,9,1848.33,3696.66,Potential regulars,356
USER_000351,43,9,2986.28,6636.2,At Risk,292
USER_000352,85,8,1315.01,2630.08,At Risk,280
USER_000353,26,8,2297.5,5169.42,At Risk,312
USER_000354,23,11,2353.39,4706.68,At Risk,340
USER_000355,50,9,2402.53,4805.1,At Risk,307
USER_000356,76,9,2448.78,4897.62,At Risk,277
USER_000357,25,10,1977.58,5141.76,At Risk,265
USER_000358,14,10,2860.66,5721.4,Potential regulars,346
USER_000359,124,6,1594.81,4252.8,Inactive,134
USER_000360,23,12,3263.2,7070.18,At Risk,314
USER_000361,32,13,3184.58,6369.22,At Risk,323
USER_000362,15,13,2784.77,5997.88,Potential regulars,328
USER_000363,120,7,1711.9,3912.96,Inactive,209
USER_000364,46,11,2446.15,4892.36,At Risk,306
USER_000365,21,13,3164.92,7303.8,Potential regulars,302
USER_000366,6,12,3571.28,7737.86,Potential regulars,338
USER_000367,39,11,2158.84,4710.24,At Risk,308
USER_000368,67,12,2885.33,5770.56,At Risk,290
USER_000369,7,8,2273.31,5683.2,Potential regulars,279
USER_000370,13,11,2322.07,4644.2,Potential regulars,337
USER_000371,49,8,2089.1,4700.52,At Risk,287
USER_000372,26,11,3356.32,6712.64,At Risk,338
USER_000373,56,12,3169.12,6338.16,At Risk,306
USER_000374,6,10,3554.16,8530.08,Potential regulars,311
USER_000375,12,15,6127.66,13889.34,Potential regulars,314
USER_000376,57,11,3143.83,6287.6,At Risk,309
USER_000377,44,9,1869.56,3739.14,At Risk,315
USER_000378,4,12,2819.9,5639.76,Potential regulars,347
USER_000379,48,3,426.91,1138.4,Inactive,254
USER_000380,152,14,3274.39,6548.64,Inactive,211
USER_000381,122,5,1078.41,2156.8,Inactive,234
USER_000382,49,6,1122.25,2244.48,At Risk,304
USER_000383,59,5,1043.51,2087.0,At Risk,294
USER_000384,2,15,3924.11,8371.52,Potential regulars,349
USER_000385,8,8,3040.15,6840.36,Potential regulars,309
USER_000386,44,7,2038.36,4076.66,At Risk,310
USER_000387,51,8,2809.86,5619.68,At Risk,315
USER_000388,105,9,1950.65,4768.28,Inactive,195
USER_000389,10,16,3741.3,7950.22,Potential regulars,341
USER_000390,7,12,5033.52,10067.04,Potential regulars,349
USER_000391,64,4,766.52,1916.3,At Risk,219
USER_000392,56,14,3713.88,7958.4,At Risk,288
USER_000393,33,9,1212.5,2694.4,At Risk,307
USER_000394,39,4,1409.1,7045.6,At Risk,108
USER_000395,81,7,1265.74,2893.12,At Risk,234
USER_000396,79,8,2183.39,4366.72,At Risk,285
USER_000397,68,7,2232.88,5103.68,At Risk,266
USER_000398,56,11,2694.23,6368.18,At Risk,260
USER_000399,30,10,2756.61,5513.2,At Risk,328
USER_000400,85,4,1215.23,2430.48,Inactive,272
USER_000401,42,10,1991.25,4380.86,At Risk,296
USER_000402,49,9,2646.33,5292.72,At Risk,315
USER_000403,77,12,3255.03,6510.0,At Risk,283
USER_000404,93,6,1695.1,3390.24,Inactive,268
USER_000405,91,11,4533.44,9891.12,Inactive,256
USER_000406,40,16,3822.94,7645.76,At Risk,316
USER_000407,160,4,715.83,1789.6,Inactive,140
USER_000408,51,6,1363.5,3636.0,At Risk,225
USER_000409,25,13,2866.01,5731.96,At Risk,334
USER_000410,72,13,2840.05,6117.16,At Risk,270
USER_000411,6,4,693.75,1387.52,Potential regulars,324
USER_000412,45,14,2995.64,5991.16,At Risk,321
USER_000413,25,14,2908.37,6232.2,At Risk,312
USER_000414,35,11,2642.77,5285.5,At Risk,327
USER_000415,18,8,1699.42,3823.74,Potential regulars,308
USER_000416,83,13,3476.9,7488.6,At Risk,262
USER_000417,20,14,2680.97,5362.0,Potential regulars,337
USER_000418,213,4,1190.54,2381.04,Inactive,149
USER_000419,107,6,1783.19,3566.4,Inactive,253
USER_000420,51,8,3305.83,9091.06,At Risk,226
USER_000421,22,4,781.14,1562.32,Inactive,325
USER_000422,51,12,2549.66,6374.1,At Risk,241
USER_000423,22,23,5562.25,11608.32,At Risk,333
USER_000424,29,7,2274.29,4548.6,At Risk,327
USER_000425,22,7,2111.52,7239.6,At Risk,195
USER_000426,1,5,1150.41,2300.8,Potential regulars,357
USER_000427,104,9,1507.58,3685.22,Inactive,196
USER_000428,26,12,3183.82,7959.6,At Risk,272
USER_000429,19,14,4408.85,8817.76,Potential regulars,336
USER_000430,69,14,2970.83,5941.6,At Risk,297
USER_000431,108,9,1695.56,3391.2,Inactive,250
USER_000432,18,12,4737.05,9474.0,Potential regulars,346
USER_000433,19,4,950.24,2375.6,Potential regulars,271
USER_000434,14,12,5673.2,12292.02,Potential regulars,331
USER_000435,19,13,4709.04,9417.98,Potential regulars,341
USER_000436,98,4,893.4,1786.8,Inactive,230
USER_000437,7,10,3619.58,7239.2,Potential regulars,350
USER_000438,67,6,1235.75,2883.44,At Risk,253
USER_000439,76,8,1975.86,3951.68,At Risk,288
USER_000440,14,14,3496.46,6993.0,Potential regulars,339
USER_000441,23,12,3176.03,6881.42,At Risk,320
USER_000442,38,8,2275.2,4550.4,At Risk,321
USER_000443,85,9,1993.47,3987.0,At Risk,268
USER_000444,28,5,1162.33,4184.46,At Risk,170
USER_000445,15,13,3093.41,6186.7,Potential regulars,346
USER_000446,32,12,3567.51,7729.54,At Risk,307
USER_000447,108,10,2418.83,4837.6,Inactive,258
USER_000448,43,12,2586.96,5173.92,At Risk,316
USER_000449,70,6,2138.06,4988.76,At Risk,252
USER_000450,18,10,3411.71,8188.08,Potential regulars,291
USER_000451,24,11,2764.06,6030.72,At Risk,315
USER_000452,36,13,3760.56,7521.02,At Risk,321
USER_000453,20,7,1532.28,4378.0,Potential regulars,227
USER_000454,80,7,1353.29,3866.6,At Risk,176
USER_000455,41,9,2735.49,6686.68,At Risk,270
USER_000456,19,8,2829.72,7074.4,Potential regulars,266
USER_000457,12,13,2891.8,5783.7,Potential regulars,353
USER_000458,25,12,4174.43,8348.88,At Risk,336
USER_000459,37,13,4130.11,8895.6,At Risk,313
USER_000460,19,11,2643.62,5287.26,Potential regulars,344
USER_000461,32,5,1365.38,3276.96,At Risk,253
USER_000462,42,16,4779.31,9558.72,At Risk,323
USER_000463,4,6,1408.13,2816.28,Potential regulars,362
USER_000464,122,4,782.45,1564.88,Inactive,213
USER_000465,29,6,1322.46,3526.56,At Risk,250
USER_000466,28,14,3785.56,7571.2,At Risk,333
USER_000467,13,9,2718.23,5436.54,Potential regulars,339
USER_000468,7,14,3117.87,6681.0,Potential regulars,344
USER_000469,77,17,4377.16,9784.24,At Risk,254
USER_000470,72,5,1053.28,2106.6,At Risk,287
USER_000471,36,9,2538.09,5640.2,At Risk,287
USER_000472,19,7,2042.01,4084.08,Potential regulars,339
USER_000473,14,11,3017.92,6035.92,Potential regulars,337
USER_000474,48,11,3830.96,7661.94,At Risk,309
USER_000475,6,9,1579.26,3509.4,Potential regulars,320
USER_000476,41,8,1784.36,4014.9,At Risk,292
USER_000477,6,15,3628.66,7257.3,Potential regulars,358
USER_000478,38,11,4514.53,10670.66,At Risk,267
USER_000479,34,4,1049.99,4200.0,At Risk,154
USER_000480,91,6,1768.16,3536.28,Inactive,265
USER_000481,22,9,2136.68,4273.38,At Risk,342
USER_000482,12,16,3749.04,7497.92,Potential regulars,353
USER_000483,182,5,1112.89,2225.8,Inactive,184
USER_000484,18,9,1573.48,3496.6,Potential regulars,320
USER_000485,29,10,2905.41,5810.8,At Risk,333
USER_000486,22,8,2514.14,5028.32,At Risk,339
USER_000487,72,9,1942.23,4316.0,At Risk,270
USER_000488,32,10,2496.09,4992.2,At Risk,323
USER_000489,38,14,4523.51,9693.3,At Risk,302
USER_000490,10,8,1712.3,4280.8,Potential regulars,291
USER_000491,22,4,1696.88,3393.76,Inactive,327
USER_000492,23,10,2656.59,5844.52,At Risk,323
USER_000493,86,8,1969.33,3938.72,At Risk,264
USER_000494,42,10,2455.62,5402.32,At Risk,287
USER_000495,98,6,1913.35,3826.68,Inactive,258
USER_000496,11,10,2101.21,4622.64,Potential regulars,328
USER_000497,15,11,2350.01,5127.36,Potential regulars,324
USER_000498,42,9,2732.45,5464.98,At Risk,306
USER_000499,16,13,2127.67,4582.76,Potential regulars,313
USER_000500,15,17,4095.64,8673.12,Potential regulars,327
USER_000501,54,13,4622.08,9955.12,At Risk,291
USER_000502,71,7,1387.23,3170.88,At Risk,244
USER_000503,38,6,967.85,1935.72,At Risk,318
USER_000504,42,11,3069.29,6138.66,At Risk,322
USER_000505,15,12,4327.81,12983.4,Potential regulars,231
